01001111  bits: 8, d:7
10010111  bits: 8, d:7
10100111  bits: 8, d:7
00100111  bits: 8, d:7
01000111  bits: 8, d:7
00011011  bits: 8, d:7
10001011  bits: 8, d:7
01010011  bits: 8, d:7
10100011  bits: 8, d:7
01000011  bits: 8, d:7
00111101  bits: 8, d:7
00011101  bits: 8, d:7
10001101  bits: 8, d:7
00001101  bits: 8, d:7
00110101  bits: 8, d:7
11100101  bits: 8, d:7
11000101  bits: 8, d:7
11101001  bits: 8, d:7
10110001  bits: 8, d:7
11010001  bits: 8, d:7
00101110  bits: 8, d:7
01001110  bits: 8, d:7
00010110  bits: 8, d:7
00111010  bits: 8, d:7
00011010  bits: 8, d:7
11001010  bits: 8, d:7
11110010  bits: 8, d:7
01110010  bits: 8, d:7
11100010  bits: 8, d:7
11000010  bits: 8, d:7
10111100  bits: 8, d:7
01011100  bits: 8, d:7
10101100  bits: 8, d:7
01110100  bits: 8, d:7
11100100  bits: 8, d:7
10111000  bits: 8, d:7
11011000  bits: 8, d:7
01011000  bits: 8, d:7
01101000  bits: 8, d:7
10110000  bits: 8, d:7
bits: 8, Max : 7
101001111  bits: 9, d:8
100010111  bits: 9, d:8
101100111  bits: 9, d:8
101000111  bits: 9, d:8
100011011  bits: 9, d:8
010001011  bits: 9, d:8
100001011  bits: 9, d:8
010110011  bits: 9, d:8
101010011  bits: 9, d:8
010100011  bits: 9, d:8
100100011  bits: 9, d:8
101000011  bits: 9, d:8
001011101  bits: 9, d:8
100011101  bits: 9, d:8
111001101  bits: 9, d:8
100001101  bits: 9, d:8
001110101  bits: 9, d:8
100110101  bits: 9, d:8
110010101  bits: 9, d:8
111100101  bits: 9, d:8
001100101  bits: 9, d:8
111000101  bits: 9, d:8
110000101  bits: 9, d:8
101011001  bits: 9, d:8
110001001  bits: 9, d:8
101110001  bits: 9, d:8
110110001  bits: 9, d:8
111010001  bits: 9, d:8
101100001  bits: 9, d:8
110100001  bits: 9, d:8
001011110  bits: 9, d:8
010011110  bits: 9, d:8
000101110  bits: 9, d:8
001001110  bits: 9, d:8
010001110  bits: 9, d:8
001110110  bits: 9, d:8
010100110  bits: 9, d:8
001111010  bits: 9, d:8
000111010  bits: 9, d:8
110011010  bits: 9, d:8
000011010  bits: 9, d:8
001101010  bits: 9, d:8
011001010  bits: 9, d:8
110001010  bits: 9, d:8
011110010  bits: 9, d:8
000110010  bits: 9, d:8
011100010  bits: 9, d:8
110100010  bits: 9, d:8
010111100  bits: 9, d:8
011011100  bits: 9, d:8
101011100  bits: 9, d:8
010101100  bits: 9, d:8
101001100  bits: 9, d:8
011110100  bits: 9, d:8
101110100  bits: 9, d:8
011100100  bits: 9, d:8
010111000  bits: 9, d:8
010011000  bits: 9, d:8
011101000  bits: 9, d:8
010110000  bits: 9, d:8
bits: 9, Max : 8
1011000111  bits: 10, d:9
1001000111  bits: 10, d:9
1000011011  bits: 10, d:9
1000010011  bits: 10, d:9
0100100011  bits: 10, d:9
1001000011  bits: 10, d:9
1000111101  bits: 10, d:9
1000011101  bits: 10, d:9
0011101101  bits: 10, d:9
1000101101  bits: 10, d:9
1110001101  bits: 10, d:9
1000001101  bits: 10, d:9
1000100101  bits: 10, d:9
1110001001  bits: 10, d:9
1100001001  bits: 10, d:9
1011110001  bits: 10, d:9
1011010001  bits: 10, d:9
1010010001  bits: 10, d:9
1011100001  bits: 10, d:9
1101100001  bits: 10, d:9
1100100001  bits: 10, d:9
1011000001  bits: 10, d:9
0100111110  bits: 10, d:9
0011011110  bits: 10, d:9
0010011110  bits: 10, d:9
0100011110  bits: 10, d:9
0101101110  bits: 10, d:9
0100101110  bits: 10, d:9
0100001110  bits: 10, d:9
0011110110  bits: 10, d:9
0001110110  bits: 10, d:9
0111011010  bits: 10, d:9
0111110010  bits: 10, d:9
0001110010  bits: 10, d:9
0111010010  bits: 10, d:9
1100010010  bits: 10, d:9
0111100010  bits: 10, d:9
0111000010  bits: 10, d:9
0110111100  bits: 10, d:9
1011011100  bits: 10, d:9
0111101100  bits: 10, d:9
0111100100  bits: 10, d:9
0110111000  bits: 10, d:9
0100111000  bits: 10, d:9
bits: 10, Max : 9
01001000111  bits: 11, d:11
00011101101  bits: 11, d:11
11100010010  bits: 11, d:11
10110111000  bits: 11, d:11
bits: 11, Max : 11
001100101111  bits: 12, d:11
011000101111  bits: 12, d:11
010010001111  bits: 12, d:11
100010110111  bits: 12, d:11
010000110111  bits: 12, d:11
100010010111  bits: 12, d:11
101101000111  bits: 12, d:11
101001000111  bits: 12, d:11
001001000111  bits: 12, d:11
010010000111  bits: 12, d:11
010001111011  bits: 12, d:11
010000111011  bits: 12, d:11
000111011011  bits: 12, d:11
000010110011  bits: 12, d:11
101010010011  bits: 12, d:11
101000010011  bits: 12, d:11
000100111101  bits: 12, d:11
001000111101  bits: 12, d:11
001000011101  bits: 12, d:11
000111101101  bits: 12, d:11
100011101101  bits: 12, d:11
000011101101  bits: 12, d:11
111000101101  bits: 12, d:11
110010010101  bits: 12, d:11
111000100101  bits: 12, d:11
100110000101  bits: 12, d:11
110010000101  bits: 12, d:11
000010111001  bits: 12, d:11
101000011001  bits: 12, d:11
101101110001  bits: 12, d:11
111011010001  bits: 12, d:11
111010010001  bits: 12, d:11
000101101110  bits: 12, d:11
000100101110  bits: 12, d:11
010010001110  bits: 12, d:11
010111100110  bits: 12, d:11
111101000110  bits: 12, d:11
001101111010  bits: 12, d:11
011001111010  bits: 12, d:11
000111011010  bits: 12, d:11
001101101010  bits: 12, d:11
000111010010  bits: 12, d:11
111100010010  bits: 12, d:11
011100010010  bits: 12, d:11
111000010010  bits: 12, d:11
110111100010  bits: 12, d:11
110111000010  bits: 12, d:11
111011000010  bits: 12, d:11
010111101100  bits: 12, d:11
010101101100  bits: 12, d:11
111101001100  bits: 12, d:11
111000100100  bits: 12, d:11
101111000100  bits: 12, d:11
101110000100  bits: 12, d:11
101101111000  bits: 12, d:11
110110111000  bits: 12, d:11
010110111000  bits: 12, d:11
010010111000  bits: 12, d:11
011101101000  bits: 12, d:11
101111001000  bits: 12, d:11
011101001000  bits: 12, d:11
101101110000  bits: 12, d:11
100111010000  bits: 12, d:11
110011010000  bits: 12, d:11
bits: 12, Max : 11
1010110011111  bits: 13, d:12
1010001101111  bits: 13, d:12
0110010101111  bits: 13, d:12
0101011001111  bits: 13, d:12
1010011001111  bits: 13, d:12
1010001001111  bits: 13, d:12
1001010001111  bits: 13, d:12
1010010001111  bits: 13, d:12
1010000110111  bits: 13, d:12
1000110010111  bits: 13, d:12
1010100100111  bits: 13, d:12
1011000100111  bits: 13, d:12
1011011000111  bits: 13, d:12
1011001000111  bits: 13, d:12
1010110000111  bits: 13, d:12
1011010000111  bits: 13, d:12
1000101111011  bits: 13, d:12
1000010111011  bits: 13, d:12
1000111011011  bits: 13, d:12
1000101011011  bits: 13, d:12
0101000011011  bits: 13, d:12
1000001101011  bits: 13, d:12
0100011001011  bits: 13, d:12
1000010001011  bits: 13, d:12
1001001100011  bits: 13, d:12
0101011000011  bits: 13, d:12
1001010000011  bits: 13, d:12
1000100111101  bits: 13, d:12
1000011011101  bits: 13, d:12
0010110011101  bits: 13, d:12
1110001101101  bits: 13, d:12
1110000101101  bits: 13, d:12
1000011001101  bits: 13, d:12
1110001001101  bits: 13, d:12
1110010001101  bits: 13, d:12
0010011110101  bits: 13, d:12
1111100110101  bits: 13, d:12
1110000110101  bits: 13, d:12
0011110010101  bits: 13, d:12
0000110010101  bits: 13, d:12
1110010010101  bits: 13, d:12
1111001100101  bits: 13, d:12
1111000100101  bits: 13, d:12
1111011000101  bits: 13, d:12
1111001000101  bits: 13, d:12
1110110000101  bits: 13, d:12
1001100000101  bits: 13, d:12
0000101011001  bits: 13, d:12
1010000011001  bits: 13, d:12
1111000101001  bits: 13, d:12
1100000101001  bits: 13, d:12
1100011001001  bits: 13, d:12
1101101110001  bits: 13, d:12
1110100110001  bits: 13, d:12
1101111010001  bits: 13, d:12
1101101010001  bits: 13, d:12
1011110010001  bits: 13, d:12
1011101100001  bits: 13, d:12
1011001100001  bits: 13, d:12
1101110100001  bits: 13, d:12
1101000100001  bits: 13, d:12
1101011000001  bits: 13, d:12
0010100111110  bits: 13, d:12
0010111011110  bits: 13, d:12
0010001011110  bits: 13, d:12
0100110011110  bits: 13, d:12
0100010011110  bits: 13, d:12
0100001101110  bits: 13, d:12
0010010101110  bits: 13, d:12
0010000101110  bits: 13, d:12
0001011001110  bits: 13, d:12
0010010001110  bits: 13, d:12
0011100110110  bits: 13, d:12
0011111010110  bits: 13, d:12
0000111010110  bits: 13, d:12
0101111100110  bits: 13, d:12
1111010100110  bits: 13, d:12
